release_version,schema_version,release_source_id,internal_source_id,release_source_document_id,internal_source_document_id,source_type,source_name,version_tag,external_id,doc_date,url,content_hash,retrieved_at_utc,created_at_utc
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:6c5b2f7dd89fa373bdfbfad3,57062,CR,Congressional Record JSON,crec_json,CREC-2015-03-04-pt1-PgH1603-4.json,2015-03-04,,6360ad5e82ed204a1e53de4786a4cfd6a9cf94c1277b57992d6e81a4bc0154d1,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:939db682053203633f3f6d8b,57559,CR,Congressional Record JSON,crec_json,CREC-2015-03-13-pt1-PgH1630-2.json,2015-03-13,,0216d3fcf7bae43f891ea78c30f604fec6d9f51413f1d4dd93ec873ee776af85,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:4e8b8db8427e0a80e8d7368d,57656,CR,Congressional Record JSON,crec_json,CREC-2015-03-16-pt1-PgH1643.json,2015-03-16,,66e996cf888d3bb652687f9b89e73543a05be209bb71801ded71d9057984f236,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:87e4a2e77e384be642deec2b,57876,CR,Congressional Record JSON,crec_json,CREC-2015-03-17-pt1-PgH1716.json,2015-03-17,,330cfbfe12bc864f305636930ed72b792dc34aa2139a5a1d0ac0071d4d9eb59b,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:cd7e2de59f8bd6737122ec88,58190,CR,Congressional Record JSON,crec_json,CREC-2015-03-19-pt1-PgH1773-6.json,2015-03-19,,cd16268485bf2ef2e0022a6916260c47862baf5540425895176925d29fc3f9fe,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:fbb647ef2153a7bd936e2fa2,58625,CR,Congressional Record JSON,crec_json,CREC-2015-03-24-pt1-PgH1855-7.json,2015-03-24,,5df8607049ad5891cb9607943e38d12e543aacf9d57a2575338adfb0e4c955fd,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:250cd19ca7558928aee92bcb,61330,CR,Congressional Record JSON,crec_json,CREC-2015-04-22-pt1-PgH2381.json,2015-04-22,,e6b6cb5ca26fa3a2bb641eb2f07eee06ee1471133df8bdebcf61eb7c36c1b994,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:132cd62ede660ce8ab0b6acc,63481,CR,Congressional Record JSON,crec_json,CREC-2015-05-14-pt1-PgH2972-3.json,2015-05-14,,4b5cbb82f7c00eced6c483028bc1bec5986c18a0c01d4a93105220980128fed8,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:78d5a3aebcf76e9a0a1fb183,64089,CR,Congressional Record JSON,crec_json,CREC-2015-05-19-pt1-PgH3317-7.json,2015-05-19,,8b8b831522575d54a6ee22d169abbb88260a16cc8b8b5af671b1f1938ef7e2e8,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:f18fa291caf078bf6480c6f9,64098,CR,Congressional Record JSON,crec_json,CREC-2015-05-19-pt1-PgH3318.json,2015-05-19,,306039a84e5116f26c839a04c56a13bf045c4144dd9b86984aef1c913156d10d,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:7f152160c97ac725a1d65d0f,66620,CR,Congressional Record JSON,crec_json,CREC-2015-06-10-pt1-PgH4015-7.json,2015-06-10,,dad8d6474a82c635874fb7fa287ab7d05134818e2df5a9f4bbf0d2b936dd677b,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:e9021e42a093bebf1562d4df,74198,CR,Congressional Record JSON,crec_json,CREC-2015-09-25-pt1-PgH6256.json,2015-09-25,,48ac2ba04470c94610994b1404f7680759857aa8a98b4ae94f39531ab1004943,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:a09b15adf74a8588c0233b98,76944,CR,Congressional Record JSON,crec_json,CREC-2015-10-29-pt1-PgH7337.json,2015-10-29,,1556b0cd62e7dc3c9b7e052e316fb4e510e5ba3443b5227eff79dfab35adf365,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:df15c77d2ca96f06fdbb6558,77572,CR,Congressional Record JSON,crec_json,CREC-2015-11-05-pt1-PgH8136-3.json,2015-11-05,,fd1552a01e4500b6eea6fd4f27eb923ba6c6632fe101c3a143bc3543fcde8ebe,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:d3640217d5622ce652628ea7,79726,CR,Congressional Record JSON,crec_json,CREC-2015-12-08-pt1-PgH9032-6.json,2015-12-08,,6681feb5b62b22e1b45314071b91aa6d33453e881de036a22679ae6549d2851b,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:bb6ff6f7722efcf93523769c,83381,CR,Congressional Record JSON,crec_json,CREC-2016-02-04-pt1-PgH583-2.json,2016-02-04,,cdc31239f9e5a578a8dbd71880073fdf07f49314ae540ca5be86a0ad9dc23de7,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:293639b0944e402da703e148,83382,CR,Congressional Record JSON,crec_json,CREC-2016-02-04-pt1-PgH583.json,2016-02-04,,89f38d0412d2f961c5e3b0d32e16a88bcaa4e73eb5fd1a963bfd2809d436feb8,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:e6be6cf960e4dcef53178f05,83388,CR,Congressional Record JSON,crec_json,CREC-2016-02-04-pt1-PgH584.json,2016-02-04,,138fd51d65b427a2c6586c3320a8a2b350eb204695cd3ec4155332c850dbdf5b,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:594f52115b7421234808864f,95839,CR,Congressional Record JSON,crec_json,CREC-2016-06-24-pt1-PgH4177-6.json,2016-06-24,,d524349ddccdd595d33ce47ac87a74ed21f5bb8f32e960e3bf5ee4af1d637871,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:9c498731129041aebdfcfc3a,96514,CR,Congressional Record JSON,crec_json,CREC-2016-07-06-pt1-PgH4293-3.json,2016-07-06,,90735e07d31e186aa511320f4c538c90656cc08b22b96dca080104bbe5f9369f,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:88680f9ddd8f6c7acb36d080,98219,CR,Congressional Record JSON,crec_json,CREC-2016-07-21-pt1-PgH5026.json,2016-07-21,,954f0ff1ab059fd79fec3833f343ba3c0f7bc42d102c7627ff9c70b0eae7e6cc,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:a7fa41f2fa4eb544e5598ba9,98452,CR,Congressional Record JSON,crec_json,CREC-2016-09-06-pt1-PgH5041-6.json,2016-09-06,,5212a19ca6c49c2a4d625d8b331fe428b3e5121dcc24512ea15556c6daa409d0,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:fc6891defea65587eff473ee,99457,CR,Congressional Record JSON,crec_json,CREC-2016-09-13-pt1-PgH5365.json,2016-09-13,,2fab85ba248992fe57368e7239ea564a1f4ebdfaaf08492a23a5255595c09511,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:d5a48b3a6bced6a7826cc65c,102317,CR,Congressional Record JSON,crec_json,CREC-2016-11-16-pt1-PgH6265.json,2016-11-16,,984272b1f8a0e0009ab54228da4f3efa82f9baff5d492664ef6215283ec37364,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:fe21f18651b741701ba02fa7,103528,CR,Congressional Record JSON,crec_json,CREC-2016-12-05-pt1-PgH7147.json,2016-12-05,,536c51a8a46020a2853815fe0468c6c1132c64c6104fb61f6d1a3de13f9aad0a,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:cc51fab65f5db09c4298e82d,105733,CR,Congressional Record JSON,crec_json,CREC-2018-01-11-pt1-PgH162-5.json,2018-01-11,,3af0082d402a5b65ae708bae7f5b679c4b973d467177d777692fce55fa8b66b8,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:a52c92e41da3a901d3e26944,105937,CR,Congressional Record JSON,crec_json,CREC-2018-01-16-pt1-PgH397-3.json,2018-01-16,,8b9bff931991268cf58eefe6113b941ab89c96dfbdd675031a5ae74e66f06a3c,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:e640409b295991337b387131,106716,CR,Congressional Record JSON,crec_json,CREC-2018-01-22-pt1-PgH617-3.json,2018-01-22,,a0716b70aa228149d5ba44a74b9b122c32cf85580565418a59ad913b17ab135a,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:0f674695a33e038d1f186495,106726,CR,Congressional Record JSON,crec_json,CREC-2018-01-22-pt1-PgH621.json,2018-01-22,,20912f895e59f4f3a1a539cc3cb30c1438c1e022a0735b23450424f88df6b584,,
